source,source_geo_id,source_geo_name,source_geo_type,canonical_geo_id,match_method,confidence_score,notes
zillow,395015,"Reading, PA",msa,metro_39740,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=PA
zillow,394651,"Greenville, NC",msa,metro_24780,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NC
zillow,394656,"Grenada, MS",msa,metro_24980,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MS
zillow,394723,"Jefferson City, MO",msa,metro_27620,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MO
zillow,394486,"Columbia, SC",msa,metro_17900,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=SC
zillow,394330,"Andrews, TX",msa,metro_11380,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TX
zillow,394795,"Lincoln, IL",msa,metro_30660,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IL
zillow,395182,"Valdosta, GA",msa,metro_46660,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=GA
zillow,753902,"Malvern, AR",msa,metro_31680,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=AR
zillow,394540,"Dublin, GA",msa,metro_20140,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=GA
zillow,394951,"Oxford, MS",msa,metro_37060,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MS
zillow,395095,"Show Low, AZ",msa,metro_43320,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=AZ
zillow,394537,"Dothan, AL",msa,metro_20020,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=AL
zillow,753927,"Winnemucca, NV",msa,metro_49080,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NV
zillow,394336,"Ardmore, OK",msa,metro_11620,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OK
zillow,394973,"Peru, IN",msa,metro_37940,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IN
zillow,394750,"Kinston, NC",msa,metro_28820,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NC
zillow,395070,"Savannah, GA",msa,metro_42340,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=GA
zillow,394942,"Orangeburg, SC",msa,metro_36700,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=SC
zillow,394893,"Muncie, IN",msa,metro_34620,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IN
zillow,394899,"Nacogdoches, TX",msa,metro_34860,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TX
zillow,394309,"Albemarle, NC",msa,metro_10620,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NC
zillow,394778,"Lawrence, KS",msa,metro_29940,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=KS
zillow,394382,"Bennington, VT",msa,metro_13540,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=VT
zillow,394369,"Bay City, MI",msa,metro_13020,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MI
zillow,394405,"Boulder, CO",msa,metro_14500,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=CO
zillow,394588,"Farmington, NM",msa,metro_22140,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NM
